title	link	date	title_corrected
United Nations call for inclusion of refugee women in Belize's women empowerment activities - Breaking Belize News	https://www.breakingbelizenews.com/2021/05/17/united-nations-call-for-inclusion-of-refugee-women-in-belizes-women-empowerment-activities/	2021-05-17	United Nations call for inclusion of refugee women in Belize's women empowerment activities
El Salvador's president alleges plot to increase migration as United States shifts financial aid from government to civil society organizations - Breaking Belize News	https://www.breakingbelizenews.com/2021/05/24/el-salvadors-president-alleges-plot-to-increase-migration-as-united-states-shifts-financial-aid-from-government-to-civil-society-organizations/	2021-05-24	El Salvador's president alleges plot to increase migration as United States shifts financial aid from government to civil society organizations
Why many migrate from Latin America and other countries to the US - Amandala	https://amandala.com.bz/news/why-many-migrate-from-latin-america-and-other-countries-to-the-us/	2021-05-29	Why many migrate from Latin America and other countries to the US
PM Briceno says that one of the main topics discussed with Guatemalan President was migration – Love FM | Belize News and Music Power - LoveFM	https://lovefm.com/pm-briceno-says-that-one-of-the-main-topics-discussed-with-guatemalan-president-was-migration/	2021-06-03	PM Briceno says that one of the main topics discussed with Guatemalan President was migration – Love FMBelize News and Music Power
Vice President Kamala Harris is in Guatemala to talk about migration with President Alejandro Giammattei - Breaking Belize News	https://www.breakingbelizenews.com/2021/06/07/vice-president-kamala-harris-is-in-guatemala-to-talk-about-migration-with-president-alejandro-giammattei/	2021-06-07	Vice President Kamala Harris is in Guatemala to talk about migration with President Alejandro Giammattei
Over 3,000 migrants stranded in Mexico were raped or assaulted - Breaking Belize News	https://www.breakingbelizenews.com/2021/06/22/over-3000-migrants-stranded-in-mexico-were-raped-or-assaulted/	2021-06-22	Over 3,000 migrants stranded in Mexico were raped or assaulted
Immigration staff at Philip Goldson International Airport test positive for COVID-19 - Breaking Belize News	https://www.breakingbelizenews.com/2021/06/28/immigration-staff-at-philip-goldson-international-airport-test-positive-for-covid-19/	2021-06-28	Immigration staff at Philip Goldson International Airport test positive for COVID-19
United Nations High Commission on Refugees and Department of Youth Services sign agreement to support refugee, local youth in Belize - Breaking Belize News	https://www.breakingbelizenews.com/2021/07/23/united-nations-high-commission-on-refugees-and-department-of-youth-services-sign-agreement-to-support-refugee-local-youth-in-belize/	2021-07-23	United Nations High Commission on Refugees and Department of Youth Services sign agreement to support refugee, local youth in Belize
UNHCR & Department of Youth Services sign agreement to support refugee, local Youth in Belize - WIC News	https://wicnews.com/caribbean/unhcr-department-youth-services-sign-agreement-support-refugee-local-youth-belize-555536255/	2021-07-25	UNHCR & Department of Youth Services sign agreement to support refugee, local Youth in Belize
US releases 50 thousand migrants without court date - Breaking Belize News	https://www.breakingbelizenews.com/2021/07/27/u-s-releases-50-thousand-migrants-without-court-date/	2021-07-28	US releases 50 thousand migrants without court date
Guatemala, ICJ, and Belizean immigrants - Amandala	https://amandala.com.bz/news/guatemala-icj-and-belizean-immigrants/	2008-10-10	Guatemala, ICJ, and Belizean immigrants
Two Cubans and a Somalian seeking refugee status find favor with Supreme Court - Amandala	https://amandala.com.bz/news/two-cubans-and-a-somalian-seeking-refugee-status-find-favor-with-supreme-court/	2009-05-07	Two Cubans and a Somalian seeking refugee status find favor with Supreme Court
Mark, Cordel urge PM Barrow to consider refugee program for Haiti - Amandala	https://amandala.com.bz/news/mark-cordel-urge-pm-barrow-to-consider-refugee-program-for-haiti/	2010-01-14	Mark, Cordel urge PM Barrow to consider refugee program for Haiti
Minister Hulse speaks on 11 abrupt transfers from immigration department | Channel5Belize.com - channel5belize	https://edition.channel5belize.com/archives/91998	2013-10-30	Minister Hulse speaks on 11 abrupt transfers from immigration departmentChannel5Belize.com
Belize faces heat over rights of Maya, LGBTI and migrant workers - Amandala	https://amandala.com.bz/news/belize-faces-heat-rights-maya-lgbti-migrant-workers/	2014-08-22	Belize faces heat over rights of Maya, LGBTI and migrant workers
Costa Rica in talks with Belize over plight of Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/04/costa-rica-talks-belize-plight-cuban-migrants/	2015-12-04	Costa Rica in talks with Belize over plight of Cuban migrants
Belize turns down request for passage of 5000 Cuban migrants - Amandala	https://amandala.com.bz/news/belize-turns-request-passage-5000-cuban-migrants/	2015-12-12	Belize turns down request for passage of 5000 Cuban migrants
Costa Rica withdraws from SICA over Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/22/costa-rica-withdraws-sica-cuban-migrants/	2015-12-22	Costa Rica withdraws from SICA over Cuban migrants
Cuban migrants in crisis: Costa Rica closes doors and withdraws from SICA's political bodies - Amandala	https://amandala.com.bz/news/cuban-migrants-crisis-costa-rica-closes-doors-withdraws-sicas-political-bodies/	2015-12-24	Cuban migrants in crisis: Costa Rica closes doors and withdraws from SICA's political bodies
Costa Rica says Belize can still help Cuban migrants - Amandala	https://amandala.com.bz/news/costa-rica-belize-cuban-migrants/	2016-01-19	Costa Rica says Belize can still help Cuban migrants
Powers of Immigration boss to be delegated to Hon. Bev Castillo - Amandala	https://amandala.com.bz/news/powers-immigration-boss-delegated-hon-bev-castillo/	2016-03-15	Powers of Immigration boss to be delegated to Hon. Bev Castillo
1500 refugees and counting working to settle in Belize: report - Breaking Belize News	https://www.breakingbelizenews.com/2016/04/30/1500-refugees-counting-working-settle-belize-report/	2016-04-30	1500 refugees and counting working to settle in Belize: report
GOB explains refugee situation - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/10/gob-explains-refugee-situation/	2016-05-10	GOB explains refugee situation
Cabinet calls halt to Help for Progress refugee program - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/17/cabinet-calls-halt-progress-refugee-program/	2016-05-17	Cabinet calls halt to Help for Progress refugee program
Economics and migration - Amandala	http://amandala.com.bz/news/economics-migration/	2016-06-22	Economics and migration
Race, immigration and Belize's black population - Amandala	https://amandala.com.bz/news/race-immigration-belizes-black-population/	2017-02-11	Race, immigration and Belize's black population
Belize - The Middle East's refugee solution? - Breaking Belize News	https://www.breakingbelizenews.com/2017/02/13/belize-middle-easts-refugee-solution/	2017-02-13	BelizeThe Middle East's refugee solution?
The long view on Chinese immigration in Belize - Amandala	http://amandala.com.bz/news/long-view-chinese-immigration-belize-2/	2017-08-30	The long view on Chinese immigration in Belize
PNG police back to move refugees from Australian camp - WIC News	https://wicnews.com/world/png-police-back-move-refugees-australian-camp-18018313/	2017-11-24	PNG police back to move refugees from Australian camp
Study on Caribbean health worker migration begins - WIC News	https://wicnews.com/caribbean/study-caribbean-health-worker-migration-begins-494410124/	2018-02-12	Study on Caribbean health worker migration begins
Galen University signs agreement with UN Immigration Agency - Breaking Belize News	https://www.breakingbelizenews.com/2018/04/09/galen-university-signs-agreement-with-un-immigration-agency/	2018-04-09	Galen University signs agreement with UN Immigration Agency
Belize to develop new migration policy - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/16/belize-to-develop-new-migration-policy/	2018-05-16	Belize to develop new migration policy
The demographics of migration and graduation in Belize - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/30/the-demographics-of-migration-and-graduation-in-belize/	2018-05-30	The demographics of migration and graduation in Belize
Belize and Mexico hold second cross border migration meeting - Breaking Belize News	https://www.breakingbelizenews.com/2018/07/12/belize-and-mexico-hold-second-cross-border-migration-meeting/	2018-07-12	Belize and Mexico hold second cross border migration meeting
Teachers attend workshop on risks of 'irregular migration' - Breaking Belize News	https://www.breakingbelizenews.com/2018/08/07/teachers-attend-workshop-on-risks-of-irregular-migration/	2018-08-07	Teachers attend workshop on risks of 'irregular migration'
Saldivar says Belizeans will not become 'refugees' - Breaking Belize News	https://www.breakingbelizenews.com/2018/09/24/saldivar-says-belizeans-will-not-become-refugees/	2018-09-24	Saldivar says Belizeans will not become 'refugees'
Trump threatens to cut us aid in Honduras over immigrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/16/trump-threatens-to-cut-us-aid-in-honduras-over-immigrant-caravan/	2018-10-16	Trump threatens to cut us aid in Honduras over immigrant caravan
Hundreds of Honduran migrants en route to US - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/16/hundreds-of-honduran-migrants-en-route-to-us/	2018-10-16	Hundreds of Honduran migrants en route to US
Trump warns Guatemala, Honduras, and Salvador about migrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/17/trump-warns-guatemala-honduras-and-salvador-about-migrant-caravan/	2018-10-17	Trump warns Guatemala, Honduras, and Salvador about migrant caravan
Mexico seeks assistance from UN for migrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/19/mexico-seeks-assistance-from-un-for-migrant-caravan/	2018-10-19	Mexico seeks assistance from UN for migrant caravan
